idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
19655937,27090,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bordo ",Majur
19633357,27039,"Novo vozilo",Kia,XCeed,2022,1,Džip/SUV,Benzin,1482,160,"Manuelni 6 brzina ",4,"Crvena ",Čačak
18831175,26999,"Polovno vozilo",Kia,Sportage,2021,10870,Džip/SUV,Dizel,1598,116,"Manuelni 6 brzina ",4,"Bela ",Zemun
17951277,26990,"Novo vozilo",Isuzu,D-Max,2022,0,Pickup,Dizel,1898,163,"Manuelni 6 brzina ",2,"Bela ","Novi Sad"
19793755,26990,"Polovno vozilo",Jeep,Renegade,2021,485,Džip/SUV,Dizel,1598,131,"Manuelni 6 brzina ",4,"Crna ",Beograd
19902793,26990,"Polovno vozilo",Fiat,500,2021,12000,Hečbek,Benzin,1400,170,"Automatski / poluautomatski ",2,"Siva ","Novi Beograd"
20017864,26850,"Novo vozilo",Opel,"Grandland X",2022,0,Džip/SUV,Benzin,1199,131,"Manuelni 6 brzina ",4,"Crna ",Beograd
19968130,26700,"Novo vozilo",Renault,Kadjar,2022,3,Džip/SUV,Dizel,1461,116,"Automatski / poluautomatski ",4,"Bela ",Pančevo
19763524,26690,"Novo vozilo",Jeep,Compass,2022,1,Džip/SUV,Benzin,1332,131,"Manuelni 6 brzina ",4,"Plava ",Čačak
19768626,26539,"Novo vozilo",Kia,Sportage,2022,2,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crvena ","Novi Sad"
20021993,26539,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Zelena ","Novi Sad"
19763613,26510,"Novo vozilo",Opel,Mokka,2022,5,Džip/SUV,Dizel,1499,110,"Manuelni 6 brzina ",4,"Crna ",Beograd
19744446,26419,"Novo vozilo",Kia,Sportage,2022,3,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Plava ",Niš
19874035,26419,"Novo vozilo",Kia,Sportage,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Siva ",Čačak
19460148,26300,"Polovno vozilo",Kia,Sportage,2021,135,Džip/SUV,Benzin,1600,132,"Manuelni 6 brzina ",4,"Siva ",Beograd
19504781,26299,"Polovno vozilo",Kia,Sportage,2021,4411,Džip/SUV,Dizel,1598,136,"Manuelni 6 brzina ",4,"Plava ",Zemun
20062960,26290,"Novo vozilo",Kia,Sportage,2022,2000,Džip/SUV,Benzin,1591,150,"Manuelni 6 brzina ",4,"Plava ","Novi Sad"
20002536,26200,"Polovno vozilo",Kia,Sportage,2021,7300,Džip/SUV,Dizel,1600,136,"Manuelni 6 brzina ",4,"Crvena ",Smederevo
18528150,25990,"Novo vozilo",Hyundai,Tucson,2021,12800,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Kameleon ",Jagodina
20057760,25900,"Novo vozilo","Mercedes Benz",Citan,2021,1,"Monovolumen (MiniVan)",Dizel,1461,95,"Manuelni 6 brzina ",4,"Siva ","Novi Pazar"
19808849,25790,"Polovno vozilo",Hyundai,Kona,2021,10,Džip/SUV,Dizel,1598,136,"Automatski / poluautomatski ",4,"Plava ",Beograd
18774322,25699,"Polovno vozilo",Kia,Sportage,2021,15190,Džip/SUV,Dizel,1598,116,"Manuelni 6 brzina ",4,"Bela ",Zemun
18619863,25690,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,Benzin,1332,131,"Manuelni 6 brzina ",4,"Crna ",Beograd
19900044,25660,"Novo vozilo",Fiat,500X,2022,1,Hečbek,Benzin,1332,150,"Automatski / poluautomatski ",4,"Siva ",Beograd
18234133,25590,"Novo vozilo",Hyundai,Tucson,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Srebrna ",Kraljevo
19352773,25450,"Novo vozilo",Suzuki,"SX4 S-Cross",2022,0,Džip/SUV,Benzin,1373,129,"Manuelni 6 brzina ",4,"Siva ","Novi Sad"
16427935,25420,"Novo vozilo",Renault,Kadjar,2022,8,Džip/SUV,Benzin,1333,140,"Manuelni 6 brzina ",4,"Crvena ",Veternik
19940774,25320,"Novo vozilo",Renault,Kadjar,2022,0,Džip/SUV,Benzin,1332,141,"Manuelni 6 brzina ",4,"Bela ",Niš
20047589,25319,"Novo vozilo",Kia,Sportage,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bela ","Novi Sad"
18167597,25190,"Novo vozilo",Hyundai,Kona,2021,0,Džip/SUV,Benzin,1598,199,"Automatski / poluautomatski ",4,"Plava ","Novi Sad"
19599623,25090,"Polovno vozilo",Kia,XCeed,2021,3870,Džip/SUV,Benzin,1482,159,"Manuelni 6 brzina ",4,"Plava ",Zemun
15718038,25070,"Novo vozilo",Mazda,CX-30,2022,0,Džip/SUV,Benzin,1998,122,"Manuelni 6 brzina ",4,"Crvena ",Niš
19414626,25020,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,160,"Manuelni 6 brzina ",4,"Crna ",Beograd
18776261,25000,"Polovno vozilo",Fiat,500,2021,3000,Kupe,Benzin,1400,165,"Automatski / poluautomatski ",2,"Teget ",Beograd
17501196,24990,"Novo vozilo",Nissan,Juke,2022,0,Džip/SUV,Benzin,999,114,"Automatski / poluautomatski ",4,"Crvena ",Beograd
19022466,24990,"Polovno vozilo",MINI,Cooper,2021,10000,Limuzina,Benzin,1499,136,"Manuelni 6 brzina ",4,"Siva ",Beograd
19377942,24990,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,Benzin,1332,131,"Manuelni 6 brzina ",4,"Crvena ","Novi Sad"
20060214,24990,"Polovno vozilo",Volkswagen,"Golf 8",2021,23000,Hečbek,Dizel,1968,116,"Manuelni 6 brzina ",4,"Crna ",Beograd
16080042,24720,"Novo vozilo",Renault,Kadjar,2022,5,Džip/SUV,Benzin,1332,140,"Manuelni 6 brzina ",4,"Crvena ",Beograd
